Dungeon Master - Hall of Champions
Level: 0
Width: 18
Height: 19

Raw tile values in hexadecimal:

    00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17
00: 00 00 00 00 00 00 02 00 00 10 00 00 00 00 00 00 00 00
01: 00 10 00 00 02 06 20 01 00 B0 10 00 00 00 00 00 00 00
02: 00 9C 00 04 28 28 28 03 02 00 00 00 00 00 10 00 00 00
03: 04 B0 00 04 28 0D 28 28 20 03 10 02 06 20 30 20 00 00
04: 00 30 00 04 28 05 20 0D 20 20 30 20 20 20 20 30 10 00
05: 20 20 00 04 28 01 08 00 10 20 30 20 0D 28 20 20 03 02
06: 00 28 00 06 28 01 00 00 00 20 10 20 05 28 30 20 20 20
07: 00 20 28 28 28 01 00 00 10 30 20 20 01 08 10 20 10 20
08: 00 08 00 08 0A 00 00 10 00 20 00 00 10 02 06 20 30 20
09: 00 00 00 14 38 94 30 30 20 30 20 20 30 20 20 20 20 30
10: 00 02 02 04 28 03 00 20 00 10 20 30 20 0D 20 0D 20 19
11: 04 28 38 05 28 38 06 20 03 02 08 10 00 10 20 05 20 01
12: 04 28 38 05 28 0D 20 20 20 20 01 00 00 30 30 10 20 01
13: 04 28 38 05 28 10 30 30 20 30 10 10 30 20 20 01 28 00
14: 00 9C 08 10 28 05 20 10 10 20 07 20 20 30 10 28 38 28
15: 06 28 01 60 38 05 20 20 30 20 20 30 20 00 00 28 1D 28
16: 38 28 03 06 28 05 20 30 20 20 09 10 00 00 00 28 10 28
17: 0C 28 28 28 28 11 00 10 00 00 00 00 00 00 00 28 38 28
18: 00 08 08 08 18 00 00 00 00 00 00 00 00 00 00 00 00 00
